country,date,description,hazard,importer,incidents,link,name,remedy,retailer,units
US,"February 26, 2019","This recall involves the gray D&D Futon Furniture Sleeper Chair Folding Foam Bed which can be used as a chair or bed and were sold in 24, 32, 36, and 48 inches wide sizes. The sleeper chair is 6 inches high when configured as a mattress.","The mattress fails to meet the mandatory federal flammability standard for mattresses, posing a fire hazard.",,None reported,https://cpsc.gov/Recalls/2019/D-and-D-Futon-Furniture-Recalls-Sleeper-Chair-Folding-Foam-Beds-Due-to-Violation-of-Federal-Mattress-Flammability-Standard,Sleeper Chair Folding Foam Beds ,Repair,"
",About 800
China,"February 27, 2019",This recall involves the Harbor Freight 80 Lumen 12v rechargeable flashlights.  The small black flashlight has a soft white button located on the side to turn the flashlight on and off. The base of the flashlight is a charger that fits into any standard vehicle 12V power port to charge. The recalled flashlight’s SKU number is 64109 and can be found on the sticker label that also bears the product barcode. The flashlight is approximately 5 inches long.,"The flashlight can overheat while charging, posing a burn hazard to consumers.","Harbor Freight Tools, of Calabasas, Calif.",Harbor Freight Tools has received two reports of the flashlight overheating.  No reports of injury.,https://cpsc.gov/Recalls/2019/Harbor-Freight-Tools-Recalls-12V-Rechargeable-Flashlights-Due-to-Overheating-and-Burn-Hazards,80 Lumen 12V Rechargeable Flashlights ,Refund,,"About 500,000"
China,"February 27, 2019","This recall involves two models of the Greenwood-branded propane torches. The torches with no igniter have SKU number 61589 and the torches with a push button igniter have SKU number 61595. The torches have a steel nozzle, a flow valve, a blue grip and a black or orange hose. The SKU number is printed on a sticker located on the pipe that leads to the nozzle on the product packaging and on the manual. Only propane torches that do not have markings on the handles or brass knobs are included in this recall. ​​","The trigger on the torches that engages the flame can fail to disengage when the trigger is no longer pressed, posing a burn hazard.","Harbor Freight Tools, of Calabasas, Calif.","Harbor Freight has received two reports of the trigger failing to disengage, including one report of a burn injury.",https://cpsc.gov/Recalls/2019/Harbor-Freight-Tools-Recalls-Propane-Torches-Due-to-Burn-Hazard,Greenwood propane torches,Replace,,"About 150,000"
United States,"February 28, 2019",This recall involves Numb 100 Topical Anesthetic Cream. The recalled cream is in a 1.35 fluid ounce white jar with a rounded cap. Numb 100 Topical Anesthetic Cream and a blue cross are printed on the jar’s front panel.,"The packaging is not child resistant as required by the Poison Prevention Packaging Act. The pain relieving cream contains lidocaine, posing a risk of poisoning to young children if they put it on their skin or ingest it.",,None reported,https://cpsc.gov/Recalls/2019/Clinical-Resolution-Laboratory-Recalls-Topical-Anesthetic-Due-to-Failure-to-Meet-Child-Resistant-Closure-Requirement-Risk-of-Poisoning,Numb 100 Topical Anesthetic Cream,Refund,Laser Jet and other health and beauty stores nationwide and online at ,"26,500"
United States ,"February 28, 2019",This recall involves EZY Gel Topical Anesthetic Gel. The recalled product was sold in 1 fluid ounce white bottles. Biotouch Topical Anesthetic Gel EZY Gel is printed on a purple label located on the front panel. Lot numbers and expiration dates are located on the bottom of the bottle.,"The package is not child resistant as required by the Poison Prevention Packaging Act. The pain relieving gel contains lidocaine, posing a risk of poisoning to young children.",,None reported,https://cpsc.gov/Recalls/2019/Biotouch-Recalls-Topical-Anesthetic-Due-to-Failure-to-Meet-Child-Resistant-Closure-Requirement-Risk-of-Poisoning,EZY Gel Topical Anesthetic Gel,Refund,"Biotouch stores, beauty suppliers and tattoo salons nationwide and online at ","About 8,500"
United States,"March 5, 2019","This recall involves all model year 2018 Stampede and Rustler model side by side Arctic Cat off-highway vehicles with VIN number 9003240 through 9004062. The recalled vehicles were sold in multiple colors, have four wheels and side-by-side seating for two or four people. The Stampede models have Textron Off Road on each side of the hood area and Stampede on each side of the box. The Rustler models have Rustler 850 on each side of the hood area and 4X4 on each side of the box. The Vin number is located under the front hood on all models. ","The lower front suspension arm can fail, posing a crash hazard.",,The firm has received four reports of front suspension arm failures. No injuries or crashes have been reported.,https://cpsc.gov/Recalls/2019/Arctic-Cat-Recalls-Textron-OffHighway-Utility-Vehicles-Due-to-Crash-Hazard-Recall-Alert,Stampede and Rustler off-highway utility vehicles (ROV’s),Repair,"Textron Off Road and Arctic Cat dealers nationwide from September 2017 through December 2018 for between $13,800 and $16,000.","About 700 (In addition, about 70 were sold in Canada.)"
China,"February 14, 2019",This recall involves power supply units sold with PurpleAir PA-II and PA-II- SD air quality sensors with model number RKPO-UL052000C. The model number is located on the bottom side of the power adapter. The power adapters are black with a white label. They measure 4 inches long (including the mounting tabs) by 1-7/8 inches wide by 1-3/8 inches high.  The air quality sensors are used outdoors by consumers to monitor air quality.,"The power supplies can overheat, posing fire and burn hazards.","PowerStream Technology, of Orem, Utah","PurpleAir has received 27 reports of the recalled power supplies emitting sparks and/or smoke of which 18 are reports of property damage, including one report of a small apartment fire. No injuries have been reported.",https://cpsc.gov/Recalls/2019/PurpleAir-Recalls-Power-Supply-Units-for-Air-Sensors-Due-to-Fire-and-Burn-Hazards,PowerStream Power Supply Units for Air Sensors,Replace,Online at ,"About 4,200 sold in the United States (in addition, about 172 were sold in Canada)"
China,"February 13, 2019","The recall includes the Shop LC Rechargeable Party Disco LED Light, measuring 36 by 7 inches with Solar Panel and 2 Pin Plug Power Cord. The lights were sold in golden, blue, gray, and black. Only the item numbers listed below are involved in this recall.","The battery can overheat while charging, posing burn and fire hazards.","The Jewelry Channel Inc., dba Shop LC, of Austin, Texas","Shop LC has received five reports of the LED lights overheating while plugged in and charging, including one report of minor burns.",https://cpsc.gov/Recalls/2019/Shop-LC-Recalls-Disco-Ball-LED-Light-Due-to-Burn-and-Fire-Hazards-Recall-Alert,Rechargeable Party Disco LED Light with Solar Panel,Refund,"Shop LC television networks airing on DirecTV channels 75 and 226, Dish Network channels 274 and 225, AT&T channels 399 and 1399, Verizon channel 159, Comcast, Cox, Time Warner, Charter, Roku, Amazon Fire, Google Chromecast, Samsung Smart TV and online at ","About 5,000"
China,"February 12, 2019","This recall includes the Cat & Jack “Chiara” toddlers’ unicorn boots in sizes 5-13, and size 1. The boots are white with silver shimmer, include a white zipper, and white faux fur lining. The unicorn’s horn and inner ears are silver glitter and its eyelashes and nostrils are stitched and gray in color. At the base of the unicorn’s horn is pink, purple, and blue faux fur.  The back and sides of the boots contain multi-colored stripes. The model numbers are located on the inside tag of the boot. The recalled model numbers begin with TARGET0930156XX, where XX corresponds to a specific sized boot.","The unicorn horn on the boot can detach, posing a choking hazard to children.","Target Corp., of Minneapolis, Minn.",Four consumers reported the unicorn’s horn detached. No injuries have been reported.,https://cpsc.gov/Recalls/2019/Target-Recalls-Toddler-Boots-Due-to-Choking-Hazard,Cat & Jack Unicorn “Chiara” Boots ,Refund,"Target stores nationwide, online at Target.com, and on Google Express from October 2018 through November 2018 for about $27.","About 33,600"
China,"February 7, 2019","This recall involves the Eltek THEIA HE-t string inverters that convert DC power from residential solar panels to AC power supplied to the electrical grid system. The recalled inverters measure about 28 inches high by 14 inches wide by 6.5 inches deep. They were sold in four different kilowatt ratings: 2.0 kW, 2.9 kW, 3.8, kW, and 4.4 kW. “Eltek,” and the model designation “THEIA” and “HE-t” are printed on the front display panel of the inverter. The inverters could be installed in different places in consumers’ homes.","The capacitors can fail and allow heat to build up and the cover can eject with force from the unit, posing fire and impact hazards.","Delta Electronics USA Inc., of Plano, Texas","Delta Electronics has received 11 reports of the capacitors failing and allowing heat buildup, including two reports of the cover forcibly ejecting off the inverter units. No injuries have been reported.",https://cpsc.gov/Recalls/2019/Delta-Electronics-Recalls-Solar-Inverters-Due-to-Fire-and-Impact-Hazards,Eltek solar inverters,Replace,"Through various solar installers in Arizona, New York, Tennessee and Washington from March 2012 through May 2017 for between $2,000 and $4,000.","About 2,600"
China,"February 20, 2019",This recall involves Crate and Barrel’s Holiday Bear Acrylic Milk Bottle. The clear acrylic bottle measures 5.5 inches tall and 2.75 inches wide at the base and has a removable plastic straw. A graphic of a bear in a red sweater is printed on the wide part of the bottle.,"The plastic straw that comes with the milk bottle can crack or break, posing a laceration hazard.","Crate and Barrel of Northbrook, Ill.",The firm has received one report of the straw breaking. No injuries have been reported.,https://cpsc.gov/Recalls/2019/Crate-and-Barrel-Recalls-Holiday-Milk-Bottles-Due-To-Laceration-Hazard,Crate and Barrel Holiday Bear Acrylic Milk Bottles ,Refund,,"About 17,000"
China,"February 14, 2019","This recall involves LUCID Folding Mattress-Sofas sold in twin, full, queen, and king sizes. The mattress-sofas fold into a sofa configuration and fold out into a mattress. The recalled mattress-sofas are two-tone gray colored and have a white federal tag with “Made For: CVB INC, 1525 W 2960 S, LOGAN, UT 84321” printed on it. The federal tag is located on the underside of the head panel of the mattress.","The mattresses fail to meet the mandatory federal flammability standard for mattresses, posing a fire hazard.","CVB Inc., of Logan, Utah",None reported,https://cpsc.gov/Recalls/2019/CVB-Recalls-LUCID-Folding-Mattress-Sofas-Due-to-Violation-of-Federal-Mattress-Flammability-Standard,LUCID Folding Mattress-Sofas,Repair,"Amazon.com, Overstock.com, Wayfair.com and Walmart.com from September 2015 through June 2018 for about $130.","About 86,000"
China,"February 19, 2019","This recall involves the Academy Sports + Outdoors Outdoor Gourmet Turkey Keg which is a turkey fryer made of stainless steel and powered by propane. The fryer, including the legs, measures 34 inches high by 17 inches wide. The item number is 157826 and is located on a label on one of the four legs.","The turkey fryer spout can leak oil, posing a fire hazard.","Academy, Ltd. d/b/a Academy Sports",Academy Sports + Outdoors has received two reports of a Turkey Keg leaking. No injuries or property damage have been reported.,https://cpsc.gov/Recalls/2019/Academy-Sports-Outdoors-Recalls-Turkey-Fryer-Due-to-Fire-Hazard,Outdoor Gourmet Turkey Keg turkey fryers,Refund,Academy Sports + Outdoors stores and online at ,About 3000
Taiwan,"February 21, 2019","This recall involves SRAM® i-Motion 3 three-speed internal gear hubs with a coaster brake installed on bicycles with no redundant braking system. The recalled hubs were sold on the following Electra® model bicycles: Electra Cruiser Custom 3i, Electra Coaster 3i, Electra Hawaii 3i, Electra Hawaii 3i 24 and Electra Straight 8. The recalled hubs were also sold as aftermarket parts for other bicycles. The recalled hubs have “SRAM i-Motion 3” printed on the hub shell and a brake arm extending from the axle of the hub.","The brakes in the gear hubs can fail, posing crash and injury hazards to the rider.",,"SRAM has received five reports of brake failure, resulting in one minor injury to a rider.",https://cpsc.gov/Recalls/2019/SRAM-Recalls-Bicycle-Gear-Hubs-Due-to-Crash-and-Injury-Hazards,SRAM i-Motion 3 internal gear hubs (coaster brake version) for bicycles,Refund,"
","About 7,000 (in addition, 700 were sold in Canada)"
Mexico,"February 5, 2019","This recall involves children’s Power Wheels Barbie Dream Campers with model number FRC29 with a grey foot pedal. The recalled ride-on vehicles are hot pink with blue accents and have the Barbie logo printed on the back. They are battery-operated and have a play kitchen, a fold out grill and pretend campfire. The model number is printed on a label under the hood.","The children’s ride-on Power Wheels can continue to run after the foot pedal is released, posing an injury hazard.","Fisher-Price, of East Aurora, N.Y.",Fisher-Price has received 17 reports of the power wheels continuing to run after the foot pedal was released. No injuries have been reported.,https://cpsc.gov/Recalls/2019/Fisher-Price-Recalls-Childrens-Power-Wheels-Barbie-Campers-Due-to-Injury-Hazard,Children’s Power Wheels Barbie Dream Campers,Repair,,"About 44,000"
China,"January 30, 2019",This recall involves bed rails with model number Boom09. Hot Mom is printed on the bottom right corner of the bed rail. They measure approximately 59 inches long by 2 inches deep by 25 inches high. They have a plastic perimeter with two mesh centers and are sold with a light blue and white cover.,"The bed rails fail to meet the federal mandatory standard for portable bed rails, posing entrapment and suffocation hazards to young children.","Forest Trading LLC, of Norcross, Ga.",None reported,https://cpsc.gov/Recalls/2019/Hot-Mom-Recalls-Bed-Rails-Due-to-Violation-of-Federal-Standard-for-Portable-Bed-Rails-Sold-Exclusively-on-Amazon.com-Recall-Alert,Bed Rails ,Refund,Online at,About 500 
China,"December 19, 2018",This recall involves “Find the Bear” soft fabric books with a variety of fabric flaps sewn or attached to the pages. The front cover has blue and purple horizontal stripes and a panda bear’s face sewn on. The Manhattan Toy logo is printed on a sewn-in label on the side of the book. Lot code “208150 AJ” is printed on another sewn-in label.  ,"A metal grommet used to attach a fabric flap to a page in the book can detach, posing a choking hazard to young children.","The Manhattan Toy Company LLC, of Minneapolis, Minn.",Manhattan Toy has received one report of the metal grommet detaching from the page. No injuries have been reported.,https://cpsc.gov/Recalls/2019/Manhattan-Toy-Recalls-Childrens-Books-Due-to-Choking-Hazard,Children’s soft books,Refund,"Independent specialty retailers nationwide and online at Amazon.com, Buybuybaby.com, Manhattantoy.com and other websites from March 2017 through July 2018 for about $18.","About 1,180 (in addition, about 20 were sold in Canada)  "
South Korea,"December 20, 2018","This recall involves only Navien condensing tankless water heaters and combination boilers with model numbers NPE-180A, NPE-180S and NCB-180E that have been or will be converted from using natural gas to propane gas. The recalled water heaters and combination boilers were manufactured between July 9, 2018 through October 14, 2018. The manufacturing date is identified within the serial number. The serial number is printed on a label which is affixed to the side of the unit and on the product packaging. The first two digits identify the year, the next single digit identifies the month, and the last two digits identify the day. For example, 18709 stands for July 9, 2018. X stands for October.","A kit installed on the tankless water heaters and boilers to convert them from natural gas to propane can cause the unit to produce excessive amounts of carbon monoxide, posing a risk of carbon monoxide poisoning to consumers.","Navien Inc., of Irvine, Calif.",None,https://cpsc.gov/Recalls/2019/Navien-Recalls-Tankless-Water-Heaters-and-Boilers-Due-to-Risk-of-Carbon-Monoxide-Poisoning,Navien condensing tankless water heaters and combination boilers,Replace,"Wholesale distributors to installers nationwide from August 2018 through October 2018 for about $1,400 to $1,700 for water heaters and $3,800 for combination boilers.","About 3,400"
United States,"December 19, 2018",This recall involves Women’s Iron Complete Dietary Supplement 60-count caplets. The recalled dietary supplement is in a white box with “Women’s Iron Complete” printed on the front in gray and red font. The box contains blister packets with a total of sixty caplets.,"The dietary supplement blister packaging is not child resistant, as required by federal law. If ingested by a child, these supplements could cause serious injury or death.",,None reported,https://cpsc.gov/Recalls/2019/Womens-Iron-Complete-Supplements-Recalled-by-GNC-Due-to-Failure-to-Meet-Child-Resistant-Closure-Requirement-Risk-of-Poisoning,Women’s Iron Complete Dietary Supplement (60 caplets),Refund,"GNC retail stores nationwide and online at www.gnc.com from September 2000 through August 2018, and online at www.drugstore.com from September 2000, through August 2016 for about $10.","About 756,000"
Canada,"December 20, 2018",This recall involves Valor H5 gas fireplaces fueled by either natural gas or propane gas. The recalled fireplaces were sold in six different trim options and are a fully enclosed rectangular sheet metal box with a shatter resistant glass front. They were sold with a mesh barrier screen that was installed in front of the glass. The fireplace exhaust is vented to the outside through a ventilation duct. The model number and serial number are printed on a rating sheet behind the trim.,"The trim around the fireplaces can leak hot exhaust air, posing a burn hazard.  ",,Miles Industries has received one report of mantle charring. No injuries have been reported.,https://cpsc.gov/Recalls/2019/Miles-Industries-Recalls-Gas-Fireplaces-Due-to-Burn-Hazard,Valor H5 gas fireplaces ,Repair,"Northeast Hearth & Home, Sutter Home & Hearth, Wallace's Stove & Fireplace Hearth stores and other stores nationwide and online from June 2014 through March 2018 for about $5,500.","About 1,000 (in addition, about 1,900 were sold in Canada)"
USA,"February 5, 2019","This recall involves the D e WALT DWD110 and DWD112 3/8-inch variable speed reversing drills. The drills are yellow with black accents and have a power cable connected at one end. Only drills with date codes 2017-37-FY through 2018-22-FY are affected. If the drill is marked with an “X” after the date code it has already been inspected and is not affected. The model number is located on a label on the right side of the drill. The date code is etched into the body of the drill below the label. Consumers whose drill does not have a date code, or who cannot locate the date code should contact the company.","The drill’s wiring can contact internal moving parts, posing a shock hazard.",,None reported,https://cpsc.gov/Recalls/2019/DeWALT-Recalls-Drills-Due-to-Shock-Hazard,DEWALT DWD110 and DWD112 drills,Repair,"The Home Depot, Lowe’s and other hardware stores nationwide, and online at Amazon.com and other online retailers, from September 2017 through November 2018 for between $60 and $70.","About 122,000 (in addition, about 8,000 were sold in Canada)"
China,"February 6, 2019","This recall involves Dell hybrid power adapters sold with power banks. The adapter is designed to be disconnected from the power bank via release tabs. The recalled adapters were manufactured from January 2017 through March 2017 and can be used separately from the power bank while connected to a power outlet. The adapter is black and darker in color than the power bank with a Dell logo on the back label. The adapters have the following manufacture code –“CN-05G53P - LOC00 – XXX – XXXX – AXX” printed on the back of the unit, where “X” represents a numerical value. A full listing of the recalled adapter manufacture codes included in the recall are listed on ","The hybrid power adapter casing can break and detach, exposing the internal metal components, posing an electric shock hazard.","Dell Inc. of Round Rock, Texas",Dell has received 11 reports of the hybrid power adapter breaking and exposing the internal components. No injuries have been reported.,https://cpsc.gov/Recalls/2019/Dell-Recalls-Hybrid-Power-Adapters-Sold-with-Power-Banks-Due-to-Shock-Hazard,Hybrid Power Adapters sold with Power Banks,Replace,"Dell.com, Amazon.com, Microcenter.com, and other electronic online retailers nationwide from February 2017 through August 2018 for between $125 and $200.","About 8,900 (in addition, about 475 were sold in Canada)"
Taiwan (frame) and India (torque sensor),"December 18, 2018",This recall involves yellow TerraTrike Rambler Electrical Vehicle Option ( E.V.O.) recumbent pedal-powered trikes with an electric assist wheel. The trikes have two wheels in the front and one wheel in the back with a large black hub motor. “Terra Trike” is printed on the front of the back rest area. The model name “Rambler E.V.O.” is located on the front outrigger tube that connects to the front left wheel. The serial numbers included in this recall are listed on the firm’s website at ,"The torque sensor in the wheel can activate unexpectedly and cause the trike to power forward, posing crash and injury hazards.","WizWheelz Inc., dba TerraTrike, of Grand Rapids, Mich.",The firm has received five reports of the torque sensor activating while not pedaling. No injuries have been reported.,https://cpsc.gov/Recalls/2019/TerraTrike-Recalls-Adult-Tricycles-Due-to-Crash-and-Injury-Hazards, TerraTrike Rambler E.V.O adult tricycles,Repair,"Authorized TerraTrike dealers, independent bicycle dealers and recumbent bicycle specialty stores nationwide and online at www.TerraTrike.com from August 2017 through October 1, 2018 for about $3,500.", About 450
China,"December 13, 2018","The product involves Lotus Foods two ounce ramen noodle soups packaged in paper cups that are not microwave safe. The recalled soup cups contain organic brown rice noodles and were sold in three flavors; red miso rice ramen noodle soup, masala curry rice ramen noodle soup and tom yum rice noodle soup. The UPC code is printed on the back side of the cup to the left of the front panel.","The paper soup cup’s labeling incorrectly instructs consumers to use the microwave for cooking, posing fire and burn hazards.","Lotus Foods Inc., of Richmond, Calif.","Lotus Foods has received 12 reports of the soup cups becoming extremely hot and/or sparking or catching fire during microwaving, including one report of a minor burn. Reported damage has been limited to the noodle cups.",https://cpsc.gov/Recalls/2019/Lotus-Foods-Recalls-Ramen-Noodle-Soup-Cups-Due-to-Fire-and-Burn-Hazards,Lotus Foods rice ramen noodle soup cups,Replace,"Whole Foods Market stores and other independent natural and specialty stores nationwide, Safeway stores in Northern California and online at Amazon.com and Lotusfoods.com from August 2018 through November 2018 for about $2.50.","About 239,000 "
Taiwan,"December 12, 2018",This recall involves Stanley Commercial Hardware’s grade 1 mortise lever lock,"The lockset can fail to open, posing an entrapment hazard and inability to vacate a location in an emergency.","Stanley Security Solutions, Inc. and Best Access Solutions, Inc., of Indianapolis, Ind.",The firm has received eight reports of lockset latch failures. No injuries have been reported.,https://cpsc.gov/Recalls/2019/dormakaba-USA-Recalls-Stanley-Commercial-Hardware-Locksets-Due-to-Risk-of-Entrapment-in-an-Emergency,Door locksets,Replace,"Newport Distribution, CBS Manhattan, Columbus Door Company and other lock distributors and retailers nationwide, and online at www.Grainger.com from December 2013 through June 2018 for between about $450 and $650.","About 13,500 (in addition, about 800 were sold in Canada and about 200 were sold in Mexico)"
